date,author,likes,score,content
2018/12/9 5:41,西山的馄饨,1123,10,快过年了，给春晚留点面子吧
2019/3/17 11:31,吾名黑刀,0,10,hao!
2019/3/15 5:46,新桑不予,0,10,唯有二字——感动
2019/3/14 13:50,慧敏格格,1,10,中国是家邦更是信仰！
2019/3/13 13:56,双A熊孩子,0,10,好！
2019/3/13 12:41,原来是书辞啊,0,10,我追了两季了，吹爆！！！！
2019/3/13 9:08,啦啦啦大逗比8,0,10,一眼千年
2019/3/12 16:11,多才多艺乖小孩,0,10,文化传递
2019/3/12 8:07,鬼智者,0,10,希望快出第三季，
2019/3/12 8:00,半杯茶茶茶,0,10,看得人心潮澎湃，这就是中华的古文明！
2019/3/12 3:04,灵龙,0,10,满分是因为我打不了更高了。。。
2019/3/10 3:44,空山有鸟语,0,10,感动的不行
2019/3/9 5:11,伟大的光之守护者,0,10,身为华夏之人，何等自豪
2019/3/7 7:05,釜山的seagull,0,10,只能说不愧是央视出品了，我们五千年的底蕴表达的淋漓尽致，每一期都没有刻意煽情却可以使我们潸然泪下，感动常在
2019/3/7 6:45,初山别sama,0,10,这可能就是文博带给我的惊喜和感动吧。
2019/3/6 17:47,凤凰天君,0,10,此生无悔入华夏，来世还做华夏子
2019/3/4 10:42,超级无敌小安娜,0,8,(?????)
2019/3/3 12:36,爱船儿,0,10,国家宝藏追了两季，最后一期一直不舍得看。真心觉得我们现在的年轻人需要这样的一个节目去了解我们的历史。毕竟我们还很年轻，“我们有多年轻，上下五千年!”
2018/12/12 2:57,就算再次回到最初,1,10,让国宝火起来，这里是大型文博探索节目，国家宝藏，都说我们是一个年轻的节目，我们到底有多年轻呐？表白001号讲解员，果粒叔叔。
2019/3/2 6:13,墨夷潇,0,10,震撼
2019/3/2 2:23,宁湫湫,0,10,震撼，震惊，好看
2019/3/1 15:29,闲暇摸鱼的kuma桑,0,10,生为中国人，是我这辈子最大的荣幸，感谢我可以出生在中国。
2019/3/1 14:45,布吉也是星月呀,0,10,真的很喜欢这种文娱节目，有底蕴，有创新。
2019/2/28 3:03,豆包仓鼠,1,10,周秦宗法，汉唐风华，时光流转，朝代更替，不变的是华夏儿女的血脉
2019/2/27 14:30,此人非到炸,0,10,国家宝藏是我最喜欢的节目没有之一！
